,overall_text,sentiment_results,polarity,subjectivity,sentiment
0,"TBH, the people at AutoDesk should be more than able to provide advantages, ROI, etc, if they have shown *""everything""* they have and you are still unable to see any important advantage, it could be two things:\n\n- There's none\n- The people selling it to you don't have a clue about it, nor how you could benefit from it, they're just trying to upsell you.","{'polarity': 0.225, 'subjectivity': 0.65625, 'sentiment': 'Neutral'}",0.225,0.65625,Neutral
1,I believe all it does is give you access to utilize the Cloud-based model sharing within BIM360/ACC,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
2,These are two very likely possibilities... Thanks,"{'polarity': 0.1, 'subjectivity': 0.6, 'sentiment': 'Neutral'}",0.1,0.6,Neutral
3,"That's what I thought. Considering we are planning to coordinate and share models between disciplines using ifc and we usually don't have more than one engineer working on a single model, I don't find the cloud based model sharing very useful.","{'polarity': 0.14214285714285715, 'subjectivity': 0.24107142857142858, 'sentiment': 'Neutral'}",0.14214285714285715,0.24107142857142858,Neutral
4,"I don't know where you're located so it's hard to say if the potential is there where you live vs relocating. \n\nIs the pay low period, or low relative to other job offers? Is the job in the design field or the construction field? What opportunities are there for advancement?  What are your job duties/responsibilities?  \n\nThere really isn't enough information in your post to give you any reasonable advice. The only advice I can give us never take someone else's word on your life choices, do your own research and ask your own questions.","{'polarity': 0.09382284382284382, 'subjectivity': 0.5474358974358974, 'sentiment': 'Neutral'}",0.09382284382284382,0.5474358974358974,Neutral
5,"I am a Plumber-Turned-BIM Detailer. The position has many different titles. My official title is Mechanical Designer/Detailer and I work in Design/Build - So I design/detail piping systems and our field guys install them. I will go ahead and answer your questions in order, to help you out the best I can.\n\n1. What are some of your primary responsibilities?\n\nEveryday is different, but my workload normally consists of answering many emails, drawing pipe/fittings/equipment into the BIM Model, creating 2-D prints for many purposes, 3-D scanning and rendering 3-d scans for later reference, also, I answer any questions posed from the field supervisor on the prints/plans for construction.\n\n2. What does an average day-to-day routine look like?\n\nI have a pretty autonomous schedule and work from home mainly. I will head into the office or on-site as needed though. I work full-time, but my hours are fairly flexible. I usually wake up sometime between 6-8am and work til 4-6pm (I do work many 10-12hr days, although it is not required at all. I just really enjoy my job.). I do however get onsite very early at times, so my wake up/start times vary depending on project needs.\n\n3. What do you like? What don't you like?\n\na) Every company is different. So, I will answer this solely from a ""job-role"" perspective. I really enjoy technology, so I really like working with the BIM process. There is never a dry moment for me. There is always something new to learn and there is no way to learn every facet of this niche in the industry, so I never get bored. This is the main thing I enjoy about the job, everything else I like has to do with the company. Finding a good employer is a big part of job satisfaction as well. so, if you can sit in front of a computer all day (like I can) and get interested in the tech, then you will be fine in this role.\n\nb) In the past, there has always been a disconnect between the engineers and the installers. That is where we fit in. So our biggest hurdle is communication. It is hard to get what we need out of the engineers/architects at times, and it can be difficult to find the information you need to do your job. In the end, if there is a problem with the communication of the job, the Designers and Detailers get blamed, even though it may not be our fault. Not complaining, but it is part of the job, considering our whole job is passing information from one party to another.\n\n4. Best advice for someone trying to move towards this career?\n\nSo, moving from the field to this (for me) was a weird experience. I myself started in a BIM role right around the time I received my plumbing license, so I was still in my apprenticeship technically (right around where you are). Having been in a similar position to yours, My advice would be as follows:\n\n1. Understand that if you get a BIM job and you decide to stay in BIM, then your career as an electrician is pretty much over. I have received plenty of shit for having a Plumbing License, yet never working in the field as a Journeyman. In the end, people respect my knowledge of the field, but I am no longer a Plumber. I am a Detailer with a respectable amount of plumbing knowledge. I say this, because it was a hard pill to swallow for me, considering I original plan was to be a Plumber my whole career.\n2. I will tell you something that a wise Master Plumber told me when I was offered my current position. ""It is very difficult to move to the office from the field, but very easy to come back."" There is a large shortage of skilled tradesman, so you can always come back to the field if you don't like sitting in front of a computer all day. Despite what I said in my first point, if you don't like the office life, then you still will have a license to fall back on.\n3. I got my job doing 3 things, so this is what I recommend you do to get a BIM role from the field. Work your ass off in the field and be a great apprentice/journeyman. Learn some AutoCAD/Revit/Navisworks and BIM practices in your spare time (and find a love for learning - it matters). Get a LinkedIn and start networking - tell people your goals and what you are doing to achieve them.\n\n&#x200B;\n\nI hope this helped, I know it was pretty lengthy, but I read someone was in the exact scenario I was in a few years ago, so I had to say something. Thing worked out for me and I am very happy with my job/life, but everybody is different. This job suits me, but it may not suit you. So, if you have an interest in BIM, then try to achieve your goal and see what you think of it.\n\n&#x200B;\n\nWish you the best!","{'polarity': 0.2190832500832501, 'subjectivity': 0.5188904428904427, 'sentiment': 'Neutral'}",0.2190832500832501,0.5188904428904427,Neutral
6,"Most of the people in BIM at the company I'm at are/were journeymen. If you're looking for an office job, it's not too shabby. You'll be staring at a computer screen for many, many hours.","{'polarity': 0.5, 'subjectivity': 0.5, 'sentiment': 'Positive'}",0.5,0.5,Positive
7,"I do modeling and detailing for structural firm and my engineer boss signs and seals drawings. None of the calculations, shop drawings, specifications, or site visits/inspections. \n\nDay to day, depends on stage of projects. Usually I open our model on cloud that's linked to others. I check around for things that change and need updating. Provide that info to my Senior engineer to get solution. We do line drawings for our details, as we have huge library of AutoCAD -> Revit details. \n\nI have Bach in architecture, previous experience with civil engineering, some hands on experience building. After series of life ""fuck yous"", I found my self working as draftsman for structural firm. I make as much as I would a licensed architect. I love my work, always had interest in 3D buildings, started as kid making custom video game maps in for quake. Every day / project is a new problem that needs fixing. \n\nOnly thing I don't like is remote work makes it difficult to communicate a very visual kind of medium.\n\nExperience and knowledge of softwares best thing to advance career. Don't be afraid to job hop for better pay.","{'polarity': 0.04527629233511586, 'subjectivity': 0.4953654188948307, 'sentiment': 'Neutral'}",0.04527629233511586,0.4953654188948307,Neutral
8,"What country are you from?\n\nIn the UK a knowledge of the ISO 19650 is crucial to most high level BIM jobs. there are a stack of jobs in the BIM industry now from someone who models the elements, someone who audits and clash checks models, to managers who create the documentation needed in a project to ensure that it is complaint with client requirements and whatever standards apply.\n\nIt's definitely an area that will increase in the coming years as i think more and more large scale projects (and even small ones too) will be done via BIM.\n\nThe main thing with BIM is the I which is information and that's the key to everything.","{'polarity': 0.13554112554112555, 'subjectivity': 0.5365367965367965, 'sentiment': 'Neutral'}",0.13554112554112555,0.5365367965367965,Neutral
9,"Don't let yourself be intimidated by all these titles, there are mainly 2 different types of roles + one overlapping both of them to some degree. \n\nMainly you have authoring/designing/modeling whatever you want to call it, and coordination/management depending on the type of company and the project you work on. And BIM Specialist who is a guru in a specific tool and focuses on that mostly, but in a design or coordination role.\n\nSo at the core, I see only authoring and coordination/management.\n\nI forgot to say I worked for close to 10 years in AEC in Norway, mostly on the design part, and I switched in the summer to coordination/management.\n\nI'd focus to become a Specialist with some tools to get into the ""industry"" and I would build up from there. \n\nIf you wish we can have a zoom call and I can cram in more details about this.","{'polarity': 0.25, 'subjectivity': 0.5375, 'sentiment': 'Neutral'}",0.25,0.5375,Neutral
